patch,width,theme,components,panels,modules,min_width,overflow_cols,fallback_rate,sidebar_hidden,minimap_hidden,min_contrast,degraded
droid_mpfs5melody2,100,mono,91,6,6,1468,1368,0.0000,0,1,1.0000,1
label_i4_empty,80,classic,18,2,2,292,212,0.0000,1,1,5.2520,1
numbered_led_pairs,120,classic,2,1,1,34,0,0.0000,0,0,5.2520,0
led_pairs_kinds,80,terminal,8,1,1,130,50,0.0000,1,1,,1
led_pairs_kinds,170,classic,8,1,1,130,0,0.0000,0,0,5.2520,0
arpeggio1,228,terminal,14,2,2,228,0,0.0000,0,0,,0
influence_outlier,120,terminal,20,2,2,324,204,0.0000,0,0,,1
modifier_switch_passthrough,12,terminal,21,2,2,340,328,1.0000,1,1,,1
alg27_2,80,terminal,37,3,4,440,360,0.0000,1,1,,1
led_pairs,292,classic,34,1,2,292,0,0.0000,0,0,5.2520,0
graph_latency_error,290,terminal,18,1,1,290,0,0.0000,0,0,,0
droid_mpfs5melody2,80,classic,91,6,6,1468,1388,0.0000,1,1,5.2520,1
multi_module_p2b8,292,terminal,36,1,2,292,0,0.0000,0,0,,0
physical_multirow_rack,80,mono,289,2,17,310,230,0.0000,1,1,1.0000,1
modifier_switch_passthrough,12,classic,21,2,2,340,328,1.0000,1,1,5.2520,1
graph_latency_backedge,80,mono,18,1,1,290,210,0.0000,1,1,1.0000,1
physical_multirow_rack,120,mono,289,2,17,310,190,0.0000,0,0,1.0000,1
numbered_led_pairs,12,classic,2,1,1,34,22,1.0000,1,1,5.2520,1
graph_latency_fanout,120,terminal,18,1,1,290,170,0.0000,0,0,,1
physical_multirow_rack,350,terminal,289,2,17,310,0,0.0000,0,0,,0
render_outlier_matrix,398,classic,22,3,3,358,0,0.0000,0,0,5.2520,0
numbered_led_pairs,80,classic,2,1,1,34,0,0.0000,1,1,5.2520,0
physical_multirow_rack,80,terminal,289,2,17,310,230,0.0000,1,1,,1
graph_topology_error,80,classic,18,1,1,290,210,0.0000,1,1,5.2520,1
droid_mpfs5melody2,1508,classic,91,6,6,1468,0,0.0000,0,0,5.2520,0
droid_mpfs5drum,120,terminal,57,4,4,920,800,0.0000,0,0,,1
arpeggio1,120,terminal,14,2,2,228,108,0.0000,0,0,,1
cable_banner_combos,76,classic,2,2,2,36,0,0.0000,1,1,5.2520,0
modifier_switch_passthrough,340,classic,21,2,2,340,0,0.0000,0,0,5.2520,0
multi_module_p2b8,100,mono,36,1,2,292,192,0.0000,0,1,1.0000,1
droid_mpfs5melody2,120,classic,91,6,6,1468,1348,0.0000,0,0,5.2520,1
numbered_led_pairs,74,classic,2,1,1,34,0,0.0000,1,1,5.2520,0
physical_multirow_rack,12,classic,289,2,17,310,298,1.0000,1,1,5.2520,1
label_i4_empty,292,classic,18,2,2,292,0,0.0000,0,0,5.2520,0
led_pairs,12,terminal,34,1,2,292,280,1.0000,1,1,,1
graph_latency_error,120,classic,18,1,1,290,170,0.0000,0,0,5.2520,1
graph_latency_chain,330,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
switch_value,12,classic,2,1,1,34,22,1.0000,1,1,5.3172,1
render_outlier_matrix,80,terminal,22,3,3,358,278,0.0000,1,1,,1
droid_mpfs5melody2,12,classic,91,6,6,1468,1456,1.0000,1,1,5.2520,1
led_pairs_kinds,12,mono,8,1,1,130,118,1.0000,1,1,1.0000,1
label_i4_empty,12,mono,18,2,2,292,280,1.0000,1,1,1.0000,1
modifier_switch_passthrough,380,terminal,21,2,2,340,0,0.0000,0,0,,0
numbered_led_pairs,100,mono,2,1,1,34,0,0.0000,0,1,1.0000,1
numbered_led_pairs,120,terminal,2,1,1,34,0,0.0000,0,0,,0
graph_latency_backedge,290,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
cable_banner_combos,80,mono,2,2,2,36,0,0.0000,1,1,1.0000,1
graph_latency_error,12,classic,18,1,1,290,278,1.0000,1,1,5.2520,1
label_i4_empty,292,terminal,18,2,2,292,0,0.0000,0,0,,0
graph_topology_error,80,mono,18,1,1,290,210,0.0000,1,1,1.0000,1
switch_value,80,terminal,2,1,1,34,0,0.0000,1,1,,0
graph_latency_chain,100,terminal,18,1,1,290,190,0.0000,0,1,,1
arpeggio1,228,classic,14,2,2,228,0,0.0000,0,0,5.2520,0
graph_topology_error,120,classic,18,1,1,290,170,0.0000,0,0,5.2520,1
source_navigation,100,terminal,26,2,2,420,320,0.0000,0,1,,1
numbered_led_pairs,34,terminal,2,1,1,34,0,0.0000,1,1,,0
graph_latency_error,12,mono,18,1,1,290,278,1.0000,1,1,1.0000,1
optimizer_latency,76,terminal,2,2,2,36,0,0.0000,1,1,,0
led_pairs_kinds,130,classic,8,1,1,130,0,0.0000,0,0,5.2520,0
optimizer_latency,12,terminal,2,2,2,36,24,1.0000,1,1,,1
switch_value,12,terminal,2,1,1,34,22,1.0000,1,1,,1
numbered_led_pairs,80,mono,2,1,1,34,0,0.0000,1,1,1.0000,1
graph_edge_kinds,120,mono,18,1,1,290,170,0.0000,0,0,1.0000,1
cable_banner_combos,100,mono,2,2,2,36,0,0.0000,0,1,1.0000,1
graph_latency_error,120,terminal,18,1,1,290,170,0.0000,0,0,,1
graph_latency_backedge,12,terminal,18,1,1,290,278,1.0000,1,1,,1
influence_outlier,100,terminal,20,2,2,324,224,0.0000,0,1,,1
influence_outlier,324,terminal,20,2,2,324,0,0.0000,0,0,,0
graph_edge_kinds,100,classic,18,1,1,290,190,0.0000,0,1,5.2520,1
influence_outlier,12,mono,20,2,2,324,312,1.0000,1,1,1.0000,1
led_pairs_kinds,120,terminal,8,1,1,130,10,0.0000,0,0,,1
render_outlier_matrix,358,terminal,22,3,3,358,0,0.0000,0,0,,0
switch_value,74,terminal,2,1,1,34,0,0.0000,1,1,,0
droid_mpfs5drum,100,classic,57,4,4,920,820,0.0000,0,1,5.2520,1
source_navigation,460,classic,26,2,2,420,0,0.0000,0,0,5.2520,0
physical_multirow_rack,310,classic,289,2,17,310,0,0.0000,0,0,5.2520,0
graph_latency_fanout,100,mono,18,1,1,290,190,0.0000,0,1,1.0000,1
graph_latency_chain,100,mono,18,1,1,290,190,0.0000,0,1,1.0000,1
arpeggio1,120,mono,14,2,2,228,108,0.0000,0,0,1.0000,1
cable_banner_combos,100,classic,2,2,2,36,0,0.0000,0,1,5.2520,0
graph_latency_backedge,80,terminal,18,1,1,290,210,0.0000,1,1,,1
optimizer_latency,120,mono,2,2,2,36,0,0.0000,0,0,1.0000,1
influence_outlier,12,classic,20,2,2,324,312,1.0000,1,1,5.2520,1
graph_latency_fanout,120,classic,18,1,1,290,170,0.0000,0,0,5.2520,1
numbered_led_pairs,12,mono,2,1,1,34,22,1.0000,1,1,1.0000,1
cable_banner_combos,120,terminal,2,2,2,36,0,0.0000,0,0,,0
label_i4_empty,80,mono,18,2,2,292,212,0.0000,1,1,1.0000,1
droid_mpfs5drum,960,terminal,57,4,4,920,0,0.0000,0,0,,0
numbered_led_pairs,80,terminal,2,1,1,34,0,0.0000,1,1,,0
led_pairs_kinds,12,terminal,8,1,1,130,118,1.0000,1,1,,1
arpeggio1,120,classic,14,2,2,228,108,0.0000,0,0,5.2520,1
graph_latency_error,120,mono,18,1,1,290,170,0.0000,0,0,1.0000,1
physical_multirow_rack,100,terminal,289,2,17,310,210,0.0000,0,1,,1
influence_outlier,80,classic,20,2,2,324,244,0.0000,1,1,5.2520,1
influence_outlier,120,mono,20,2,2,324,204,0.0000,0,0,1.0000,1
droid_mpfs5drum,80,mono,57,4,4,920,840,0.0000,1,1,1.0000,1
label_i4_empty,80,terminal,18,2,2,292,212,0.0000,1,1,,1
switch_value,80,classic,2,1,1,34,0,0.0000,1,1,5.3172,0
switch_value,120,terminal,2,1,1,34,0,0.0000,0,0,,0
graph_topology_error,290,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
graph_latency_backedge,330,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
droid_mpfs5melody2,1508,terminal,91,6,6,1468,0,0.0000,0,0,,0
source_navigation,80,terminal,26,2,2,420,340,0.0000,1,1,,1
graph_topology_error,330,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
switch_value,100,classic,2,1,1,34,0,0.0000,0,1,5.3172,0
graph_edge_kinds,80,mono,18,1,1,290,210,0.0000,1,1,1.0000,1
alg27_2,100,classic,37,3,4,440,340,0.0000,0,1,5.2520,1
graph_latency_error,330,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
optimizer_latency,36,terminal,2,2,2,36,0,0.0000,1,1,,0
led_pairs_kinds,100,terminal,8,1,1,130,30,0.0000,0,1,,1
graph_latency_chain,80,classic,18,1,1,290,210,0.0000,1,1,5.2520,1
led_pairs,120,classic,34,1,2,292,172,0.0000,0,0,5.2520,1
switch_value,120,classic,2,1,1,34,0,0.0000,0,0,5.3172,0
render_outlier_matrix,358,classic,22,3,3,358,0,0.0000,0,0,5.2520,0
graph_latency_backedge,100,terminal,18,1,1,290,190,0.0000,0,1,,1
numbered_led_pairs,74,terminal,2,1,1,34,0,0.0000,1,1,,0
alg27_2,440,terminal,37,3,4,440,0,0.0000,0,0,,0
physical_multirow_rack,100,mono,289,2,17,310,210,0.0000,0,1,1.0000,1
multi_module_p2b8,80,terminal,36,1,2,292,212,0.0000,1,1,,1
graph_latency_chain,120,mono,18,1,1,290,170,0.0000,0,0,1.0000,1
graph_latency_backedge,330,terminal,18,1,1,290,0,0.0000,0,0,,0
cable_banner_combos,76,terminal,2,2,2,36,0,0.0000,1,1,,0
